City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saryg-Sep,RU,2021-12-23 23:33:03,51.5,95.6,-15.86,98,61,3.65
68,Lacolle,CA,2021-12-23 23:33:03,45.0834,-73.3659,12.33,79,28,1.12
69,Saint-Francois,FR,2021-12-23 23:33:04,46.4154,3.9054,42.48,90,0,2.3
70,Puerto Ayora,EC,2021-12-23 23:30:29,-0.7393,-90.3518,70.32,89,90,7.74
71,Yaan,NG,2021-12-23 23:33:04,7.3833,8.5667,79.54,23,87,5.08
72,Torbay,CA,2021-12-23 23:33:05,47.6666,-52.7314,35.67,82,40,36.82
73,Pizarro,CO,2021-12-23 23:33:05,4.9533,-77.366,77.22,89,52,4.65
74,Ihosy,MG,2021-12-23 23:33:06,-22.4,46.1167,70.95,73,100,1.7
75,Saskylakh,RU,2021-12-23 23:33:06,71.9167,114.0833,-41.1,100,77,1.7
76,Evensk,RU,2021-12-23 23:33:07,61.95,159.2333,-2.87,78,100,13.69
77,Porto Walter,BR,2021-12-23 23:33:08,-8.2686,-72.7439,72.7,98,94,5.57
78,La Union,PE,2021-12-23 23:33:08,-5.4,-80.75,76.14,60,92,16.08
79,Ilulissat,GL,2021-12-23 23:33:08,69.2167,-51.1,28.42,86,75,3.44
80,Libreville,GA,2021-12-23 23:31:39,0.3925,9.4537,77.85,87,100,11.3
81,Saint-Philippe,RE,2021-12-23 23:33:09,-21.3585,55.7679,77.22,87,100,0.54
82,Pangoa,PE,2021-12-23 23:33:09,-12.1167,-73.0,70.03,94,95,1.43
83,Oranjemund,NA,2021-12-23 23:33:10,-28.55,16.4333,63.23,95,3,3.96
84,Gat,IL,2021-12-23 23:33:10,31.61,34.7642,54.39,100,100,12.48
85,Lere,NG,2021-12-23 23:33:11,10.387,8.5726,67.32,29,3,6.64
86,Clarksdale,US,2021-12-23 23:33:11,34.2001,-90.5709,59.16,67,1,10.36
87,Takoradi,GH,2021-12-23 23:33:12,4.8845,-1.7554,80.15,80,29,8.46
88,Sioux Lookout,CA,2021-12-23 23:33:12,50.1001,-91.917,14.38,85,90,3.44
89,Bisauli,IN,2021-12-23 23:33:13,28.3167,78.9333,53.96,49,58,4.59
90,Atuona,PF,2021-12-23 23:33:13,-9.8,-139.0333,79.2,74,1,15.1
91,Pascagoula,US,2021-12-23 23:30:38,30.3658,-88.5561,57.25,72,1,3.44
92,Songjianghe,CN,2021-12-23 23:34:14,42.1859,127.479,-7.1,77,100,5.82
93,Bambous Virieux,MU,2021-12-23 23:34:14,-20.3428,57.7575,79.21,88,75,2.3
94,Portland,US,2021-12-23 23:30:59,45.5234,-122.6762,45.77,84,75,1.01
95,Viedma,AR,2021-12-23 23:34:15,-40.8135,-62.9967,74.43,55,3,20.94
96,Cape Town,ZA,2021-12-23 23:30:48,-33.9258,18.4232,66.11,75,0,1.01
97,Huarmey,PE,2021-12-23 23:34:16,-10.0681,-78.1522,70.36,84,12,9.48
98,Danilov,RU,2021-12-23 23:34:16,58.1908,40.1717,11.71,89,100,12.06
99,Henties Bay,NA,2021-12-23 23:34:16,-22.116,14.2845,62.85,88,0,2.73
100,Chokurdakh,RU,2021-12-23 23:34:17,70.6333,147.9167,-31.45,100,100,3.85
101,Dakar,SN,2021-12-23 23:30:21,14.6937,-17.4441,76.08,73,77,6.91
102,Trincomalee,LK,2021-12-23 23:30:12,8.5711,81.2335,77.14,67,13,8.14
103,Georgetown,MY,2021-12-23 23:30:14,5.4112,100.3354,78.89,91,20,3.0
104,Katsuura,JP,2021-12-23 23:34:18,35.1333,140.3,51.12,60,48,14.56
105,Upernavik,GL,2021-12-23 23:34:19,72.7868,-56.1549,26.15,83,100,2.68
106,Svetlyy,RU,2021-12-23 23:34:19,54.675,20.1347,26.65,96,100,11.86
107,Sao Filipe,CV,2021-12-23 23:34:20,14.8961,-24.4956,74.61,69,5,10.29
108,Teahupoo,PF,2021-12-23 23:34:20,-17.8333,-149.2667,80.56,75,92,16.98
109,Simbahan,PH,2021-12-23 23:34:21,6.3032,120.5836,82.33,75,74,16.51
110,Iqaluit,CA,2021-12-23 23:29:50,63.7506,-68.5145,11.93,67,90,6.91
111,Vung Tau,VN,2021-12-23 23:31:53,10.346,107.0843,76.26,81,100,11.36
112,Hami,CN,2021-12-23 23:30:26,42.8,93.45,24.19,59,1,0.72
113,Minsk,BY,2021-12-23 23:30:19,53.9,27.5667,19.15,92,98,13.38
114,Baruun-Urt,MN,2021-12-23 23:34:23,46.6806,113.2792,-13.29,86,9,5.01
115,Hamilton,US,2021-12-23 23:32:08,39.1834,-84.5333,52.65,43,75,3.0
116,Najran,SA,2021-12-23 23:34:24,17.4924,44.1277,56.05,45,32,4.14
117,Port Elizabeth,ZA,2021-12-23 23:30:52,-33.918,25.5701,58.1,86,90,8.34
118,Tabuk,PH,2021-12-23 23:34:24,17.4189,121.4443,74.39,91,38,0.38
119,Hilo,US,2021-12-23 23:34:25,19.7297,-155.09,73.8,38,90,5.75
120,Tak,TH,2021-12-23 23:34:26,16.5833,98.8333,56.91,93,18,1.41
121,Lasa,IT,2021-12-23 23:30:31,46.6166,10.7002,24.96,51,65,4.79
